rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
-1.284702,-0.8071101,-0.10754719,0.0699,-4.9174,-2.1582,-0.0994,-9.6846,-1.5388,dws
-1.1859686,-0.82220715,-0.1267109,-0.5279,-5.2423997,-1.1439999,-0.011399999,-9.644,-1.7781999,dws
-1.1230147,-0.74605846,-0.18495254,-1.1259999,-2.5267,-0.092199996,0.057,-9.5844,-2.0749,dws
-1.0012605,-0.68575734,-0.12859586,-1.6662999,-2.063,2.0414999,0.1365,-9.5185995,-2.3553,dws
-0.8503069,-0.74134606,-0.018378317,0.035,0.35119998,-0.5764,0.19049999,-9.4615,-2.5714,dws
-0.55279815,-0.5706179,-0.008412487,-0.8732,-0.0808,0.6803,0.2162,-9.4021,-2.7789,dws
-0.3140022,-0.40077996,-0.033265974,-0.89699996,-0.0179,0.5502,0.1909,-9.318,-3.0509,dws
-0.06667158,-0.29108602,0.0040317103,-0.90629995,-0.3854,0.648,0.161,-9.234799,-3.2958,dws
0.21013764,-0.14910348,0.07838274,-0.4034,0.2386,1.145,0.12879999,-9.1529,-3.5182,dws
0.51670474,0.012566371,0.1990199,-0.98029995,0.2647,1.3907,0.107499994,-9.071,-3.7247,dws
0.77658427,0.17407914,0.31339133,-0.655,1.1595,1.7184999,0.0764,-8.995,-3.9053998,dws
0.9242391,0.41695917,0.32063442,-0.4301,1.4167,1.8197,0.018199999,-8.928599,-4.0555997,dws
0.9553758,0.55457836,0.25848326,0.0,1.8539,2.1296,-0.029399998,-8.8853,-4.1498,dws
0.9560739,0.3944444,0.1478992,0.059,2.4873,2.4248,-0.059,-8.8616,-4.1998,dws
0.8954761,-0.0049218284,0.035342917,-0.0903,3.0335999,2.4598,-0.0861,-8.8587,-4.2054,dws
0.8170759,-0.027733281,-0.078016214,-0.2972,3.3284,2.4456,-0.114599995,-8.8789,-4.1618,dws
0.6782873,0.35768777,-0.2443461,-0.1822,3.4612,1.936,-0.1511,-8.9236,-4.064,dws
0.5165651,0.532308,-0.38224456,0.3715,3.3184998,1.4294,-0.195,-8.9868,-3.9203,dws
