rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
0.79669046,0.11828096,0.47804567,1.5081999,0.2688,-0.8828,-1.4101,-9.6635,0.8926,jog
0.78731805,0.28049186,0.5054299,1.1975,0.1793,-0.5986,-1.4132999,-9.6525,1.0007,jog
0.66657615,0.3968006,0.45130724,0.98709995,0.36049998,-0.0568,-1.4283999,-9.6376,1.1158999,jog
0.44315654,0.34894368,0.3842168,0.40649998,0.17289999,0.71819997,-1.4557999,-9.6167,1.2528,jog
0.24574235,0.36203364,0.33430037,-0.6513,-0.2758,0.675,-1.4962,-9.5896,1.4038999,jog
0.093060955,0.20523326,0.29937634,-1.1128,-0.96169996,0.35999998,-1.5839,-9.5508995,1.5619999,jog
-0.14594443,-0.15023795,0.35367352,-0.6658,-1.9152999,-0.0827,-1.6779,-9.5093,1.7105999,jog
-0.44439572,-0.40966368,0.4384267,0.7147,-2.5857,-0.6196,-1.7737999,-9.466599,1.8455,jog
-0.91299915,-0.45472807,0.42874014,1.865,-2.9991999,-1.569,-1.865,-9.4257,1.9612999,jog
-1.7436013,-0.5902878,0.4153709,2.4095,-3.6578,-2.7918,-1.9388,-9.3948,2.0367,jog
-2.8369803,-0.40268236,0.46764353,2.5005,-4.1155,-3.2098,-1.9906,-9.3783,2.0623999,jog
-3.4206185,0.22757348,0.33278194,2.4013999,-3.9427,-3.8562999,-2.0288,-9.374599,2.0421,jog
-3.5837543,0.71151835,-0.0014137167,2.0511,-3.0834,-4.3935,-2.0511,-9.3807,1.9908999,jog
-2.8646963,-0.045605455,-0.60889304,2.067,-1.7931,-5.0867,-2.067,-9.3962,1.8995999,jog
-2.4904976,-1.0411762,-1.3868387,2.3622,-0.5622,-6.8283997,-2.0876,-9.420899,1.7486,jog
-3.0918508,-1.2946503,-1.3550038,2.2431,1.2531999,-9.765699,-2.1058,-9.4614,1.4889,jog
-3.56199,-1.7184337,-0.9194918,2.088,4.1142,-6.9221997,-2.1272,-9.5177,1.0284,jog
-3.3549242,-1.6666672,-0.49991465,3.3456,5.8322,-2.935,-2.1492,-9.5588,0.4245,jog
-3.3586068,-1.1868414,-0.33810517,5.5141,-0.77529997,-2.9865,-2.1504,-9.5609,-0.3673,jog
-3.5853076,-0.81325364,-1.0986325,9.477799,-6.6769,0.2601,-2.064,-9.5138,-1.1819,jog
-3.0814137,-1.3513037,-1.5246499,7.8697,-7.1148,1.8551999,-1.8582,-9.4485,-1.8551999,jog
-2.7222948,-2.499678,-1.623226,3.2117,-5.7114,1.2056999,-1.5641999,-9.390699,-2.353,jog
-2.5926867,-3.5029283,-1.3669943,0.118499994,-8.5083,-0.14459999,-1.3148999,-9.2612,-2.9443998,jog
-1.9183263,-4.0580997,-1.3782167,-4.7862997,-11.3685,2.3818,-1.2152,-9.0685,-3.5291998,jog
-0.9704031,-3.7999659,-1.379962,-6.273,-10.8737,1.1723,-1.2191,-8.8179,-4.1143,jog
0.05576327,-2.5936813,-1.250703,-4.4291997,-9.7338,2.6345,-1.2389,-8.5261,-4.6840997,jog
1.3628927,-1.1894244,-1.166578,-1.1027,-10.841599,1.9484999,-1.1135,-8.193,-5.273,jog
2.6535113,-0.10346312,-0.8688947,1.9652,-8.7551,2.5066,-0.99429995,-7.8866997,-5.7427998,jog
3.4996643,1.271769,-0.4719545,0.5803,-5.7563,4.5797,-1.0216,-7.5709,-6.1486998,jog
3.406045,1.6117941,-0.12829915,-0.6701,-1.9144,9.028,-1.2126,-7.3135996,-6.4195,jog
2.7031484,1.0251889,0.23602088,-2.3509,2.8867,10.381499,-1.5227,-7.1134,-6.5765,jog
1.4905112,0.13618805,0.2687458,-2.5024,8.4763,11.9021,-1.8125,-7.0445,-6.5771,jog
0.07773697,-0.66723937,0.11484266,-2.2338,11.5541,11.4717,-1.9633,-7.1117,-6.4605,jog
-0.7341029,0.3318569,-0.123272605,-2.5112,12.4605,10.2848,-1.9409,-7.3413997,-6.2051997,jog
-0.0070162234,4.264171,-0.48268825,-2.033,10.648399,7.1117,-1.8111,-7.7358,-5.7486,jog
0.23739968,1.2401961,-0.24795893,-0.28219998,8.5444,1.7990999,-1.6201999,-8.1031,-5.2805,jog
-0.785084,-0.77997017,0.10899581,-0.7554,5.7932997,-1.2791,-1.4412,-8.4509,-4.7616997,jog
0.92268574,-0.7313104,0.5523443,-1.4103999,2.4615998,-3.5372,-1.3942,-8.6889,-4.3276997,jog
3.965807,1.224715,-0.51399946,-1.3682,0.2321,-5.0639997,-1.4363999,-8.8031,-4.0757,jog
1.5321023,0.38945276,0.9241169,3.8083,3.3609998,2.1929998,-1.5136,-8.8036995,-4.0464,jog
