rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
0.18610446,-0.029810224,0.20827013,-0.80829996,-1.2335,-0.0411,-6.3205,-2.1799,7.1741,sit
0.24122195,0.00853466,0.11723377,-0.4068,-1.3012999,-0.1918,-6.329,-2.1389,7.1789,sit
0.1725956,0.033737216,0.07913323,-0.0058999998,-1.5385,0.3035,-6.3504996,-2.0918,7.1738997,sit
0.21797417,0.020053834,0.049061205,0.064399995,-0.7815,0.1516,-6.3945,-2.0109,7.1579,sit
0.23905775,-0.029338984,0.020228365,0.4517,2.158,-0.3716,-6.409,-1.9504999,7.1615996,sit
0.24096015,-0.08792969,-0.006754424,-0.0927,1.2836,-0.051799998,-6.415,-1.8989999,7.1700997,sit
0.23270474,-0.15591027,-0.023020893,-0.5476,0.3006,-0.0112,-6.4265,-1.8536999,7.1717,sit
0.23277456,-0.12966052,-0.0029146997,-0.124299996,0.6573,-0.14029999,-6.43,-1.7987,7.1826,sit
0.24214698,-0.08496263,-0.004886922,-0.2777,0.3669,0.035,-6.4349,-1.7572999,7.1884,sit
0.21294762,-0.09260717,-0.023038346,-0.4297,0.198,-0.0394,-6.4428,-1.7253,7.1891,sit
0.18491763,-0.059376102,-0.01993166,-0.412,0.4799,-0.2067,-6.4477997,-1.6902,7.1928997,sit
0.17903587,-0.002042035,-0.029373892,-0.19119999,0.3369,-0.2302,-6.4447,-1.6553999,7.2037997,sit
0.1531352,0.010925761,-0.034435347,0.17819999,0.27269998,-0.13319999,-6.4322,-1.6235,7.2222,sit
0.14795156,-0.04886922,-0.03748967,0.1951,0.2015,-0.132,-6.4091997,-1.5945,7.2490997,sit
0.13829988,-0.06084218,-0.07007497,-0.014099999,0.0254,0.12539999,-6.3905997,-1.5626,7.2724,sit
0.14864969,-0.08480555,-0.11039207,0.0359,0.2093,-0.20179999,-6.3785,-1.5292,7.2900996,sit
0.122539565,-0.04096288,-0.106325455,0.0924,0.2446,-0.2685,-6.3647,-1.5021,7.3078,sit
0.1123643,-0.021205751,-0.086725414,0.0001,0.2175,-0.1391,-6.3557997,-1.4785999,7.3202996,sit
0.09646435,-0.022759093,-0.11173598,0.0009999999,0.0664,0.0346,-6.355,-1.457,7.3252997,sit
0.084665924,-0.040404372,-0.1309346,0.0493,-0.0335,-0.2645,-6.356,-1.4397999,7.3278,sit
0.08040732,-0.070581116,-0.12091641,0.19749999,0.037499998,-0.3455,-6.3482,-1.4237,7.3378,sit
0.088540554,-0.08421214,-0.08468337,0.1994,0.1586,-0.1201,-6.3374996,-1.413,7.349,sit
0.091402896,-0.08566076,-0.1060113,0.2084,0.0106999995,-0.092099994,-6.3222,-1.406,7.3634996,sit
0.10681415,-0.075049154,-0.14273302,-0.051999997,-0.2905,0.06,-6.3135,-1.4022,7.3717,sit
0.12728687,-0.07326892,-0.17954202,-0.0313,-0.0981,-0.2031,-6.3083997,-1.3974,7.377,sit
0.13346533,-0.06850417,-0.24839526,-0.0365,0.0539,-0.24759999,-6.3023996,-1.398,7.382,sit
0.13184217,-0.09334021,-0.27918285,-0.18949999,0.0839,-0.282,-6.2934,-1.4027,7.3887997,sit
