rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
-0.302867,-0.3089931,0.8843409,1.619,0.4517,0.085099995,1.3327,-9.6993,0.562,std
-0.058538344,-0.15442674,0.9483072,1.8986,-0.2934,0.1558,0.94519997,-9.7387,0.6581,std
0.043877576,-0.08759808,0.853274,-1.6826999,-1.5711,-1.9166,0.6726,-9.7555,0.7398,std
0.084107414,0.07340855,0.6564358,2.4879,-2.3444,1.2823,0.454,-9.7668,0.7574,std
0.1651605,0.082920596,0.42940336,1.8907,0.1618,0.0659,0.1784,-9.7821,0.6695,std
0.21649064,0.19846138,0.18483037,0.3543,0.3606,-1.1899999,-0.0209,-9.7946,0.484,std
0.31031954,0.35718164,0.07740535,0.2701,0.5014,0.624,-0.1818,-9.7980995,0.3664,std
0.32534683,0.45554838,0.06827728,0.76119995,-1.3642,0.24399999,-0.3297,-9.7957,0.3247,std
0.22282618,0.4757942,0.11721631,1.6214,-2.0188,0.2731,-0.50339997,-9.7883,0.325,std
-0.037140608,-0.029810224,0.63971555,1.0783,-0.61649996,0.3412,-0.6566,-9.7785,0.3452,std
-0.019617502,0.23106414,0.7220078,0.713,0.32529998,0.119799994,-0.7719,-9.7691,0.3705,std
0.15461873,0.11821115,0.62770766,0.64489996,-0.0457,0.4581,-0.8508,-9.760799,0.41459998,std
0.008953539,-0.0169646,0.6074095,0.7134,-0.2652,0.5106,-0.8703,-9.7571,0.4601,std
-0.030351276,-0.016301375,0.4585329,0.5796,-1.3278999,0.2694,-0.8738,-9.7535,0.5248,std
-0.13737486,-0.10770427,0.24537584,0.75839996,-1.3319,0.3897,-0.8761,-9.749499,0.5909,std
-0.2423215,-0.30199432,0.05942846,0.124699995,-6.9255,-1.4648,-0.8896,-9.7457,0.63119996,std
-0.2311165,-0.39046505,-0.06717772,2.1917,0.5172,1.4168999,-0.9953,-9.7354,0.6326,std
-0.1876927,-0.40662682,-0.15062192,-0.4565,-0.2417,-0.6105,-1.1223,-9.7218,0.6301,std
-0.21266837,-0.13788101,0.2766347,0.6606,-0.7668,0.2974,-1.2293999,-9.7066,0.66359997,std
-0.15184364,-0.071314156,0.118176244,0.91859996,-0.516,0.2303,-1.3305,-9.692699,0.67179996,std
-0.1067967,-0.15622441,0.13953908,0.8228,-1.1353999,-0.0044,-1.4111999,-9.6813,0.6712,std
-0.09896017,-0.05900958,0.11911872,0.7593,-1.0888,0.051099997,-1.4359,-9.6788,0.65489995,std
-0.102450825,-0.0037175512,0.10454522,0.7894,-0.5067,0.1436,-1.4268,-9.6823,0.62119997,std
-0.1287704,-0.011588986,0.091001466,0.5672,-0.4111,0.147,-1.3909,-9.6896,0.5884,std
-0.103009336,0.00083775807,0.1349314,1.5489,0.057499997,0.479,-1.3428999,-9.6975,0.57019997,std
-0.059725165,0.027122416,0.14215706,-0.53249997,0.6525,-0.16409999,-1.3795999,-9.6942,0.53679997,std
-0.0686438,-0.015987216,0.13772394,-0.1322,-0.0632,0.1634,-1.3877,-9.6943,0.5132,std
-0.0736878,-0.04045673,0.1301492,0.114999995,-0.4075,0.1857,-1.3995999,-9.693299,0.5007,std
-0.075764745,-0.041224677,0.12470377,-0.0026999998,-0.1924,-0.0552,-1.4094,-9.692599,0.4867,std
-0.07944739,-0.043615777,0.11568042,-0.1217,-0.3105,-0.067999996,-1.4179,-9.6922,0.47,std
