rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
0.2848552,-0.005846853,0.33098423,0.4154,0.2654,-1.2050999,0.5553,-9.7484,0.9109,ups
0.31028464,0.112975165,0.35033995,0.4529,0.6669,-0.91929996,0.5669,-9.7479,0.9095,ups
0.3637615,-0.042655848,0.3491531,0.3107,0.8121,-0.7438,0.5816,-9.745999,0.92029995,ups
0.31873202,-0.026720991,0.310337,0.1681,0.4865,-0.5747,0.5869,-9.7439995,0.9375,ups
-0.26136306,-0.15371114,0.4731762,0.1434,0.1804,-0.4231,0.5822,-9.7418995,0.96239996,ups
-0.9173276,-0.6007249,0.40430552,0.41169998,-0.2436,0.0885,0.559,-9.7394,1.0,ups
-1.5224158,-1.1355112,0.28391272,0.43629998,-0.88299996,0.2032,0.51489997,-9.7375,1.0421,ups
-2.6692717,-0.66699505,0.19305086,0.6936,-2.0421,-0.063,0.4635,-9.7355995,1.0828999,ups
-3.509194,-0.6035174,0.06531022,1.1130999,-4.9277997,-0.49069998,0.4068,-9.733,1.1280999,ups
-3.8139284,-1.1690215,0.19713494,2.862,-6.7165,0.1434,0.34469998,-9.729199,1.1804,ups
-3.5294397,-0.58597684,0.2024931,0.6168,-7.8009,-1.3495,0.2853,-9.723499,1.2415999,ups
-3.0465596,-0.03234095,-0.21376793,-1.1233,-8.9535,-3.5382,0.23089999,-9.7183,1.2924,ups
-3.0778706,-0.2101551,-0.78529346,-0.3443,-7.0106997,-5.3701997,0.1383,-9.729199,1.222,ups
-3.5275023,-0.8393812,-0.93050486,0.99429995,-5.1259,-7.3086996,0.0843,-9.7507,1.0422,ups
-3.6749828,-1.3099917,-0.8518603,2.4166,-3.0765998,-6.5764,0.0545,-9.779799,0.72179997,ups
-3.8598654,-1.9392179,-0.8114385,0.4951,-2.7563999,-6.4266,0.0246,-9.8057995,0.1209,ups
-4.2683425,-2.5772405,-0.7031757,-0.4763,-4.8585,-3.7024999,0.0154,-9.7926,-0.5241,ups
-4.3483305,-2.746834,-0.67730993,1.1185,-6.2833,0.59529996,-0.0398,-9.7211,-1.2916,ups
-4.440711,-2.3404517,-0.7352025,3.9166,-4.3238,2.7185,-0.092,-9.6015,-1.9928,ups
-4.252844,-2.3135562,-0.45500734,3.8302,-3.3885,2.0904,-0.0448,-9.458099,-2.5906,ups
-4.0462666,-2.5114067,-0.10252064,2.2449,-4.2674,1.3382,0.098799996,-9.275499,-3.1818,ups
-3.4257147,-2.369389,0.20624556,0.2519,-3.619,1.8857,0.2285,-8.9923,-3.9059,ups
-2.4319768,-1.8412526,0.31723103,-1.1544,-2.1704,1.4771999,0.27179998,-8.7051,-4.5074,ups
-1.6592147,-1.6352513,0.3058515,-2.5607998,-2.2981,3.721,0.2268,-8.3224,-5.1822,ups
-0.9165073,-1.3000609,0.13020156,1.2148,-1.8267,4.334,0.0403,-7.7935996,-5.9521,ups
-0.14056882,-0.38891172,-0.15514232,1.2995,-1.3561,5.5913,-0.1717,-7.303,-6.5425997,ups
0.40358993,0.1386664,-0.38044688,-0.4481,-0.1371,6.7209,-0.3854,-6.698,-7.1524,ups
0.6199235,0.015323991,-0.5170887,-0.1854,2.0753999,8.043,-0.6971,-6.0078998,-7.7193,ups
0.7823962,0.21636847,-0.77262235,-0.1938,4.5913,9.881,-1.0418,-5.4346,-8.0962,ups
1.3084384,0.3446676,-1.1185815,0.0106999995,4.3464,9.2915,-1.4523,-4.8661,-8.389299,ups
1.9376296,0.77003926,-1.0297792,0.9396,3.2199,8.7415,-1.7928,-4.4456997,-8.5552,ups
1.4175738,2.0641835,-0.61594415,1.0993,3.7879,9.2118,-2.0995998,-4.1507998,-8.6332,ups
2.168432,-0.8338311,-0.50675637,-0.1162,4.7434,7.9431,-2.3353999,-3.9882998,-8.6491995,ups
1.865146,0.51874673,-1.0435324,-1.2267,3.8544,4.2086,-2.3918998,-3.972,-8.6412,ups
2.6603007,1.9206476,-1.3679891,-0.26909998,2.2064,2.1325,-2.3394,-4.0599,-8.614699,ups
2.5735753,1.1721108,-1.370066,2.6578,1.5229,1.4346,-2.2949998,-4.1903,-8.564,ups
2.9203546,1.4785557,-1.2623442,3.3292,2.0635,1.515,-2.1915998,-4.3582,-8.5071,ups
3.028024,1.7933258,-0.8772723,-0.73219997,2.8313,2.7265,-2.0331,-4.6259,-8.4045,ups
2.8941748,1.6394053,-0.37622318,-5.8408,-1.2994,-5.4221,-1.8082999,-4.9865,-8.248199,ups
2.6971445,1.1948,-0.09522516,-4.9068,-7.2114,-11.0796995,-1.3694,-5.2626,-8.1608,ups
2.6226366,0.9201899,0.077667154,9.511,-11.0296,7.4943,-1.4401,-5.5926,-7.9258,ups
2.5506241,0.80080944,0.2720619,2.6583998,-5.4075,1.8561,-1.2168,-5.9484997,-7.7008996,ups
