rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
0.9323898,-1.1233811,-0.33861133,-1.3291,-0.3698,0.81839997,1.8783,-9.613299,-0.47509998,wlk
1.1407821,-1.4108893,-0.38365826,-1.2679,-0.3822,0.9695,1.9445,-9.6009,-0.4596,wlk
1.2779999,-1.5390139,-0.45261624,-1.3133999,-0.3454,0.9544,2.0096,-9.5886,-0.43469998,wlk
1.4654307,-1.3530141,-0.37877136,-1.3201,-0.7402,0.8182,2.0751998,-9.5763,-0.3965,wlk
1.7367073,-1.1336961,-0.21861994,-1.2083,-0.9288,0.71349996,2.1399,-9.564199,-0.3409,wlk
1.974299,-1.0224314,-0.06764896,-1.4624,-1.0475,0.63019997,2.1979,-9.5534,-0.26729998,wlk
2.0371134,-1.0300584,0.15233234,-1.2922,-1.0875,0.24239999,2.2532,-9.5428,-0.1639,wlk
1.9617326,-0.9737716,0.37887606,-0.3162,-1.9302,0.7779,2.2972,-9.5337,-0.0326,wlk
1.8032917,-0.83445936,0.51719344,-0.3962,-2.9264,2.6139,2.3574998,-9.5181,0.1319,wlk
1.6625832,-0.9249721,0.6348286,-1.5728999,-2.4799,3.6546998,2.4359,-9.4939995,0.31689999,wlk
1.5973253,-1.1532961,0.8229751,-1.6807,-1.1156,2.7493,2.5045,-9.4657,0.5457,wlk
1.56008,-1.2497605,1.1270463,-0.9874,0.009099999,0.6951,2.5467,-9.4333,0.8346,wlk
1.3464518,-1.0330429,1.4919423,-0.2809,0.5466,-0.3577,2.5658998,-9.3921995,1.1716,wlk
1.0066885,-0.94743454,1.6860578,0.234,0.35369998,-0.793,2.5509999,-9.346399,1.5187,wlk
0.9109222,-1.2444197,1.684295,0.8721,-0.7029,-0.6157,2.5012999,-9.2997,1.8513,wlk
0.9808052,-1.4958693,1.6257393,1.2343,-1.6870999,-0.62799996,2.4234998,-9.2472,2.1873,wlk
0.9833185,-1.5099541,1.5370243,0.39729998,-1.8081,-0.15969999,2.3485,-9.204599,2.4348,wlk
0.9005026,-1.3957049,1.4056532,-1.6098,-1.8328999,-0.0174,2.2473,-9.160299,2.6848,wlk
0.81627303,-1.2805655,1.2651019,-3.0575,-1.581,-1.6025,2.0866,-9.1179,2.9459999,wlk
0.6990393,-1.2167388,1.1303799,-2.2389,-1.4426999,-3.4271,1.8858,-9.099299,3.1329,wlk
0.5658357,-1.2153425,0.9884672,0.087799996,-1.2888,-3.2431998,1.6281999,-9.0963,3.2824,wlk
0.43586108,-1.2339303,0.866748,1.8325,-0.62149996,-1.8427,1.3742,-9.087,3.4215999,wlk
0.34543556,-1.2003677,0.7993957,2.1868,0.0427,-0.7892,1.1962999,-9.064899,3.5449,wlk
0.21233675,-1.0898883,0.7131415,2.1141,0.6347,-0.39209998,1.0239,-9.0292,3.6871,wlk
0.031573005,-0.9548871,0.6245137,1.8031,0.987,-0.6631,0.87399995,-8.9892,3.8207998,wlk
-0.15697491,-0.8529075,0.5049761,1.7536,1.0236,-1.2276,0.747,-8.9474,3.944,wlk
-0.30602604,-0.7534586,0.35074136,1.6013,0.96519995,-1.8125999,0.6443,-8.9086,4.0485,wlk
-0.37067303,-0.6443581,0.15095353,1.6254,1.0699999,-1.9039999,0.5712,-8.8761,4.1301,wlk
-0.32744122,-0.46792278,-0.006806784,1.7795999,1.3786,-1.7276,0.52489996,-8.8513,4.1891,wlk
-0.19399334,-0.35201547,-0.10412634,1.7357,1.9971,-1.4577999,0.4903,-8.8323,4.2331,wlk
0.05532694,-0.21092305,-0.1736428,1.7623,2.3701,-1.0392,0.4637,-8.8229,4.2557,wlk
0.38325685,-0.06586873,-0.19603539,1.9109999,2.5412,-0.6105,0.4425,-8.8273,4.2488,wlk
0.58903116,-0.118909284,-0.121963605,1.9382999,2.5795,-0.0133,0.4348,-8.846,4.2105,wlk
0.40301397,-0.020350538,0.029705504,1.515,2.1476,0.80439997,0.4463,-8.875,4.1478,wlk
0.098419115,0.026022859,0.16632988,1.0073999,1.4239,1.6315,0.4831,-8.9064,4.0758,wlk
-0.16941911,-0.08288568,0.20415117,0.997,0.5858,2.8595998,0.5327,-8.9312,4.0148,wlk
-0.6220528,-0.074298665,0.07785914,0.9895,-0.5596,4.1489997,0.5893,-8.943,3.9805999,wlk
-1.0755068,0.19778071,-0.19174187,0.9625,-2.2461998,4.6067,0.6457,-8.9333,3.9936,wlk
-0.738571,0.43362704,-0.27443558,0.0326,-3.0381,3.6213,0.69299996,-8.8965,4.0671,wlk
-0.10365511,1.037895,-0.059550636,-0.3384,-1.464,2.3451,0.7306,-8.8427,4.1763,wlk
-0.75565773,2.0190318,0.19326031,0.561,0.6562,0.8652,0.7334,-8.8055,4.2537,wlk
-1.3687744,2.1576633,0.11250392,2.5101,1.6168,-0.98429996,0.7064,-8.7953,4.2792997,wlk
-1.2789773,1.4959741,-0.14686945,4.1344,0.4131,-1.2264,0.6904,-8.8076,4.2567,wlk
-1.3876066,1.3746911,-0.08702212,4.758,-2.5862,0.5473,0.69439995,-8.858,4.15,wlk
-1.6834399,1.4671761,0.05597271,3.1696,-4.5541,3.7422998,0.7236,-8.939799,3.9656,wlk
-1.5266045,1.2110491,0.10512118,0.5747,-3.2675,1.9419999,0.74909997,-8.9907,3.8437998,wlk
-1.2961339,0.86353654,-0.014590953,-0.23869999,1.4156,-5.8427,0.68979996,-8.9962,3.8421998,wlk
-1.1777133,0.5586624,-0.16348499,3.5663,4.7888,-5.3684,0.51309997,-9.0547,3.7307,wlk
-1.2468457,0.6771703,-0.2857104,1.6524999,2.162,-3.7057998,0.348,-9.1542,3.4998,wlk
-1.3113531,1.1080921,-0.3376165,-2.6368,-1.7333,-4.3312,0.2832,-9.2403,3.2721,wlk
-1.2524657,1.4762344,-0.3629063,-2.5448,-3.0279999,-4.9687,0.2206,-9.3282995,3.0172,wlk
-1.1894419,1.6304866,-0.37807322,-0.996,-1.8905,-3.1229,0.1331,-9.4263,2.7013,wlk
-1.1465068,1.612597,-0.37533304,0.75549996,0.032899998,-2.8299,0.0583,-9.5061,2.4082,wlk
-1.117063,1.5434121,-0.3963468,1.6768999,0.89779997,-2.204,0.029399998,-9.5668,2.155,wlk
-1.0667801,1.4003125,-0.37435567,2.2766,0.9614,-0.988,0.0475,-9.6206,1.9,wlk
-0.97776836,1.1656705,-0.37880626,2.3376,0.6199,-0.6579,0.0846,-9.6616,1.6777999,wlk
-0.86762065,0.83950335,-0.44587925,1.9044,0.396,-0.7822,0.1255,-9.702499,1.4196,wlk
-0.8108276,0.538277,-0.4651128,0.8717,0.1633,-1.1739,0.1677,-9.7346,1.1739,wlk
-0.76312774,0.26361454,-0.4436627,-0.3539,0.0013,-0.96129996,0.2166,-9.7589,0.9417,wlk
-0.75925314,0.17057103,-0.4123864,-1.3212999,0.15609999,-0.7291,0.2719,-9.7764,0.7193,wlk
-0.77145296,0.33438763,-0.43202135,-2.188,0.2075,-0.5324,0.3443,-9.7886,0.4834,wlk
-0.7473325,0.56580085,-0.40816268,-2.0346,0.438,-0.103199996,0.4067,-9.7936,0.2994,wlk
-0.6538003,0.5006477,-0.44350561,-1.3641,0.39929998,0.2004,0.4815,-9.7941,0.113299996,wlk
-0.5682967,0.47408378,-0.4677657,-1.2888,-0.0168,0.2286,0.5729,-9.7897,-0.0521,wlk
